attempts,probability,error
2,1,0.4157964089146092
4,0.5,0.2921017955426954
8,1,0.4157964089146092
16,0.75,0.06184730668595689
32,0.6875,0.026639968871206184
64,0.71875,0.017603668907375355
128,0.7734375,0.09503003501989304
256,0.6875,0.026639968871206184
512,0.69921875,0.010048604704238108
1024,0.736328125,0.042490715157827465
2048,0.6962890625,0.014196445745980127
4096,0.713134765625,0.009653640244036484
8192,0.707275390625,0.001357958160552445
16384,0.7021484375,0.005900763662496088
32768,0.71075439453125,0.006283519397621093
65536,0.705169677734375,0.0016233025881996312
131072,0.7059097290039062,0.0005755406583845899
262144,0.7070655822753906,0.0010609122526151911
524288,0.7068271636962891,0.0007233600845046752
1048576,0.7064151763916016,0.00014006993800970375
2097152,0.7063512802124023,4.960595695608549e-05
4194304,0.706355094909668,5.5006791645853744e-05
8388608,0.70632004737854,5.386622933607907e-06
16777216,0.706242024898529,0.00010507732408055842
33554432,0.7063175141811371,1.800131147433676e-06
67108864,0.7063047885894775,1.6216715825465108e-05
134217728,0.7062850221991539,4.4201900262877564e-05
268435456,0.7063319683074951,2.22642313391337e-05
536870912,0.7063300888985395,1.9603370888950027e-05
