attempts,pi,error
2,2,0.3633802276324186
4,4,0.2732395447351627
8,3.5,0.11408460164326739
16,3.5,0.11408460164326739
32,3.25,0.034507130097319726
64,3.125,0.0052816056756541125
128,3.3125,0.05440149798380664
256,3.140625,0.0003080137040323832
512,3.265625,0.03948072206894145
1024,3.23828125,0.030776936118603427
2048,3.169921875,0.00901747124275836
4096,3.1748046875,0.010571718733890149
8192,3.15380859375,0.003888454522023451
16384,3.117919921875,0.007535264537795208
32768,3.1612548828125,0.006258681945999431
65536,3.1348876953125,0.002134254506112237
131072,3.141510009765625,2.6306346264746214e-05
262144,3.1477813720703125,0.001969930275157647
524288,3.1428298950195312,0.0003938261786818159
1048576,3.138744354248047,0.0009066418392886119
2097152,3.1414031982421875,6.030551013325413e-05
4194304,3.1415348052978516,1.841368322384259e-05
8388608,3.141631603240967,1.2398059031992709e-05
16777216,3.1412901878356934,9.627783976198795e-05
33554432,3.141633152961731,1.2891350472049186e-05
67108864,3.1413498520851135,7.728611931981361e-05
134217728,3.1417056918144226,3.598118441623118e-05
268435456,3.141563966870308,9.131266414318316e-06
536870912,3.1415444537997246,1.534246969079866e-05
